VEHICLE_BREADCRUMB_ID,VEHICLE_NUMBER,EQUIPMENT_CLASS,ARRIVE_DATETIME,SERVICE_DATE,ARRIVE_TIME,LONGITUDE,LATITUDE,DWELL,DISTANCE,SPEED,SATELLITES,HDOP,OCCURRENCES,VALID_FLAG,LAST_USER,LAST_TIMESTAMP
4313659818,3411,B,29OCT2021:07:17:50,29OCT2021:00:00:00,26270,-122.796878,45.526883,0,123087.27,7,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659819,3411,B,29OCT2021:07:17:55,29OCT2021:00:00:00,26275,-122.796347,45.526987,0,123228.35,19,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659820,3411,B,29OCT2021:07:18:00,29OCT2021:00:00:00,26280,-122.795602,45.52698,0,123418.64,26,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659821,3411,B,29OCT2021:07:18:05,29OCT2021:00:00:00,26285,-122.794903,45.526745,0,123612.21,26,12,0.8,1,Y,TRANS,31OCT2021:06:06:40
4313659822,3411,B,29OCT2021:07:18:10,29OCT2021:00:00:00,26290,-122.794208,45.52654,0,123802.5,26,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659823,3411,B,29OCT2021:07:18:15,29OCT2021:00:00:00,26295,-122.79363,45.526462,0,123953.42,21,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659824,3411,B,29OCT2021:07:18:20,29OCT2021:00:00:00,26300,-122.793278,45.526442,0,124042,12,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659825,3411,B,29OCT2021:07:18:25,29OCT2021:00:00:00,26305,-122.793135,45.526433,5,124078.09,5,12,0.7,2,Y,TRANS,31OCT2021:06:06:40
4313659826,3411,B,29OCT2021:07:18:35,29OCT2021:00:00:00,26315,-122.792983,45.526425,0,124117.46,5,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659827,3411,B,29OCT2021:07:18:40,29OCT2021:00:00:00,26320,-122.792557,45.526398,0,124225.73,15,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659828,3411,B,29OCT2021:07:18:45,29OCT2021:00:00:00,26325,-122.791938,45.526355,0,124386.49,22,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
4313659829,3411,B,29OCT2021:07:18:50,29OCT2021:00:00:00,26330,-122.791145,45.526295,0,124586.62,27,12,0.7,1,Y,TRANS,31OCT2021:06:06:40
