Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#,Serial #,Crash Month,Crash Day,Crash Year,Week Day Code,Crash Hour,County Code,City Section ID,Urban Area Code,Functional Class Code,NHS Flag,Highway Number,Highway Suffix,Roadway Number,Highway Component,Mileage Type,Connection Number,Linear Reference System (LRS),Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Special Jurisdiction,Jurisdiction Group,Street Number,Nearest Intersecting Street Number,Intersection Sequence Number,Distance from Intersection,Direction From Intersection,Milepoint,Posted Speed Limit,Road Character,Off Roadway Flag,Intersection Type,Intersection Related Flag,Roundabout Flag,Driveway Related Flag,Number of Lanes,Number of Turning Legs,Median Type,Impact Location,Crash Type,Collision Type,Crash Severity,Weather Condition,Road Surface Condition,Light Condition,Traffic Control Device (TCD),TCD Functional Flag,Investigating Agency,Crash Level Event 1 Code,Crash Level Event 2 Code,Crash Level Event 3 Code,Crash Level Cause 1 Code,Crash Level Cause 2 Code,Crash Level Cause 3 Code,School Zone Indicator,Work Zone Indicator,Secondary Crash Indicator,Alcohol-Involved Flag,Drugs Involved Flag,Crash Marijuana Involved Flag,Speed Involved Flag,Crash Level Hit & Run Flag,Population Range Code,Road Control,Route Type,Route Number,Region ID,District ID,Segment Marker ID,Segment Point LRS Measure,Unlocatable Flag,Total Vehicle Count,Total Fatality Count,Total Suspected Serious Injury (A) Count,Total Suspected Minor Injury (B) Count,Total Possible Injury (C) Count,Total Non-Fatal Injury Count,Total Un-Injured  Children Age 00-04,Total Un-Injured Persons,Total Pedestrian Count,Total Pedestrian Fatality Count,Total Pedestrian Non-Fatal Injury Count,Total Pedalcyclist Count,Total Pedalcyclist Fatality Count,Total Pedalcyclist Non-Fatal Injury Count,Total Unknown Non-Motorist Count,Total Unknown Non-Motorist Fatality Count,Total Unknown Non-Motorist Injury Count,Total Vehicle Occupant Count,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1826513,1,,,,,,193.0,8.0,24.0,2019.0,7.0,14.0,14.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,41.0,43.68,-121.0,30.0,17.86,0.0,,,,,,0.0,100.81,55.0,7.0,0.0,,0.0,0.0,0.0,3.0,,0.0,3.0,G,4,4.0,1.0,1.0,1.0,99.0,1.0,1.0,128.0,10.0,,33.0,27.0,,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,OR,35.0,1.0,02C,293_16466,,0.0,3.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826673,1,,,,,,5.0,1.0,1.0,2019.0,3.0,20.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,50.7,-122.0,35.0,1.07,0.0,,1940.0,5077,1.0,,9.0,4.8,35.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,3.0,3,0,4.0,1.0,1.0,2.0,99.0,1.0,3.0,,,,2.0,,,,,0.0,0.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_21511,,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,1,,,,,,2283.0,7.0,5.0,2019.0,6.0,14.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,18.0,34.78,-121.0,50.0,17.9,0.0,,,,,,0.0,48.63,55.0,2.0,0.0,,0.0,0.0,0.0,3.0,,0.0,3.0,E,3,4.0,1.0,1.0,1.0,0.0,1.0,1.0,13.0,,,27.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,US,26.0,1.0,02C,293_18879,,0.0,4.0,0.0,1.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826971,1,,,,,,3644.0,10.0,17.0,2019.0,5.0,12.0,3.0,0.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,26.0,40.55,-122.0,21.0,38.87,0.0,,,,,,9.0,18.35,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,B,1,4.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,US,26.0,1.0,02C,293_6833,,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827119,1,,,,,,3158.0,9.0,12.0,2019.0,5.0,6.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,25.0,5.92,-122.0,19.0,7.52,0.0,,,,,,9.0,21.1,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,H,6,4.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,2.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,US,26.0,1.0,02C,293_8494,,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827863,1,,,,,,216.0,1.0,9.0,2019.0,4.0,19.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,38.0,-122.0,29.0,32.28,0.0,,1702.0,1940,1.0,,9.0,9.48,35.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,4.0,3,0,4.0,3.0,2.0,2.0,99.0,1.0,3.0,,,,19.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_14879,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827872,1,,,,,,1461.0,2.0,18.0,2019.0,2.0,4.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,55.85,-122.0,30.0,48.89,0.0,,1940.0,5145,1.0,,3.0,8.41,35.0,3.0,1.0,,0.0,0.0,0.0,2.0,,0.0,6.0,2,3,4.0,2.0,2.0,2.0,99.0,1.0,3.0,13.0,121.0,,33.0,,,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_19394,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,1,,,,,,80575.0,1.0,4.0,2019.0,6.0,16.0,3.0,0.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,27.0,40.48,-122.0,22.0,59.08,0.0,,,,,,9.0,16.78,55.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,3.0,B,1,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,US,26.0,1.0,02C,293_10836,,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828231,1,,,,,,6490.0,7.0,19.0,2019.0,6.0,2.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,44.71,-122.0,33.0,29.79,0.0,,1940.0,5102,1.0,,9.0,6.2,35.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,3.0,G,4,4.0,1.0,1.0,3.0,4.0,1.0,3.0,10.0,,,33.0,5.0,,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_2424,,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828287,1,,,,,,2168.0,6.0,29.0,2019.0,7.0,1.0,3.0,0.0,0.0,2.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,22.0,4.92,-122.0,9.0,53.71,0.0,,,,,,0.0,30.0,55.0,3.0,0.0,,0.0,0.0,0.0,4.0,,0.0,3.0,E,5,4.0,1.0,1.0,3.0,0.0,1.0,5.0,,,,13.0,,,,,0.0,0.0,0.0,0.0,,5.0,US,26.0,1.0,02C,293_13406,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828314,1,,,,,,5551.0,6.0,22.0,2019.0,7.0,2.0,26.0,245.0,57.0,14.0,1.0,26.0,,1.0,0.0,0.0,,002600100S00,45.0,29.0,49.79,-122.0,37.0,28.84,0.0,,1940.0,5037,1.0,,3.0,2.81,35.0,3.0,1.0,,0.0,0.0,0.0,4.0,,0.0,1.0,8,9,4.0,1.0,1.0,3.0,99.0,1.0,3.0,40.0,62.0,,33.0,,,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,US,26.0,1.0,02B,293_18667,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
